Materials Sheet ID,Item Name,Quantity,Unit Price,Total Price,Supplier,Supplier Link,Notes,Category
SKEL-001,Servo Motor SG90,2,$3.50,$7.00,Amazon,https://amazon.com/example1,"Micro servo for arm movement",Electronics
SKEL-001,Arduino Nano,1,$12.00,$12.00,Amazon,https://amazon.com/example2,"Microcontroller",Electronics
SKEL-001,PIR Motion Sensor,1,$2.50,$2.50,Amazon,https://amazon.com/example3,"HC-SR501 sensor",Electronics
SKEL-001,Speaker 8ohm 3W,1,$4.00,$4.00,Amazon,https://amazon.com/example4,"For voice playback",Electronics
SKEL-001,Skeleton Prop,1,$19.99,$19.99,Party Store,https://partystore.com/skeleton,"Base skeleton to modify",Props
LED-001,WS2812B LED Strip 16x16,1,$35.00,$35.00,Adafruit,https://adafruit.com/led-matrix,"Addressable LED matrix",Electronics
LED-001,ESP32 Development Board,1,$8.00,$8.00,Amazon,https://amazon.com/esp32,"WiFi-enabled microcontroller",Electronics
LED-001,Large Pumpkin,1,$5.00,$5.00,Local Farm,,"For carving",Materials
LED-001,Acrylic Diffuser Sheet,1,$12.00,$12.00,Amazon,https://amazon.com/acrylic,"To diffuse LED light",Materials
FOG-001,Mini Fog Machine,1,$25.00,$25.00,Amazon,https://amazon.com/fog-machine,"400W fog machine",Electronics
FOG-001,Styrofoam Tombstone,1,$3.00,$3.00,Dollar Store,,"Base for modification",Props
FOG-001,LED Strip RGB,1,$8.00,$8.00,Amazon,https://amazon.com/rgb-strip,"For colored lighting",Electronics
DOOR-001,Relay Module 4-channel,1,$6.00,$6.00,Amazon,https://amazon.com/relay,"To control AC devices",Electronics
DOOR-001,Raspberry Pi Zero W,1,$15.00,$15.00,Adafruit,https://adafruit.com/pi-zero,"For smart integration",Electronics
DOOR-001,Jumpscare Prop,1,$4.00,$4.00,Party Store,,"Pop-up spider or ghost",Props
PROJ-001,Mini Projector 1080p,1,$120.00,$120.00,Amazon,https://amazon.com/projector,"Portable projector",Electronics
PROJ-001,White Sheets,3,$8.00,$24.00,Target,,"For projection surface",Materials
PROJ-001,Raspberry Pi 4,1,$35.00,$35.00,Amazon,https://amazon.com/pi4,"For projection mapping software",Electronics